Session 0: 

39	4	6	3
31	21	7	25
27	20	28	9
32	30	24	19
40	29	35	10
1	8	15	12
5	18	37	36
17	2	11	33
16	38	23	34
14	22	13	26

Session 1: 

9	18	36	10
32	33	7	24
35	30	23	8
13	34	5	17
22	20	4	3
1	27	28	11
26	14	16	12
25	15	37	6
2	21	39	29
38	19	31	40

Session 2: 

20	2	39	31
4	17	6	34
13	26	30	9
27	38	14	37
33	10	12	29
32	40	8	18
35	21	23	16
3	7	25	36
15	28	5	1
19	22	11	24

Session 3: 

24	4	19	17
32	22	40	13
23	2	14	5
3	36	16	34
8	38	7	25
1	15	39	18
26	21	6	33
12	29	31	37
28	35	20	11
30	10	9	27

Session 4: 

34	26	5	40
25	4	15	30
14	6	27	23
32	19	8	28
9	31	2	7
3	11	18	29
1	35	20	16
12	17	24	13
22	33	21	39
37	36	38	10

Session 5: 

26	6	39	8
27	31	37	5
9	12	19	7
34	32	40	4
20	17	24	23
36	21	15	35
22	16	28	25
10	18	1	38
3	14	2	30
11	29	13	33

Session 6: 

19	13	2	24
35	29	3	4
25	39	7	38
28	23	17	11
6	21	37	27
8	33	22	34
10	32	14	15
12	31	16	5
40	30	1	36
18	9	26	20

